method,r,alpha,coverage_mean,coverage_std
PPLS-SLM-Manifold,15,0.05,0.9427521929824562,0.004133771929824559
PPLS-SLM-Manifold,15,0.1,0.8985745614035088,0.005482456140350922
PPLS-SLM-Manifold,15,0.2,0.8125,0.007324561403508789
